customer_id,first_name,last_name,email,signup_date,region,acquisition_channel
1,Danielle,Johnson,john21@example.net,2023-01-26,East,social
2,Joy,Gardner,fjohnson@example.org,2023-05-23,North,organic
3,Jesse,Guzman,jennifermiles@example.com,2024-07-12,North,social
4,Jeffrey,Lawrence,blakeerik@example.com,2023-02-02,North,social
5,Matthew,Moore,curtis61@example.com,2023-08-27,Central,organic
6,Melanie,Munoz,blairamanda@example.com,2024-07-28,South,social
7,Christian,Carter,barbara10@example.net,2024-12-19,Central,social
8,Jeremy,Roberts,wyattmichelle@example.com,2024-04-04,Central,paid_search
9,Joshua,Reid,francisco53@example.net,2023-01-07,South,organic
10,Joseph,Zuniga,lynchgeorge@example.net,2023-12-15,East,social
11,John,Ford,veronica83@example.net,2023-12-11,North,organic
12,Mark,Tate,perezantonio@example.com,2023-04-10,East,organic
13,Richard,Jones,jason76@example.net,2024-09-10,East,email
14,Stephen,Baker,julieryan@example.net,2024-04-15,Central,email
15,Brenda,Hurst,icox@example.net,2024-01-23,North,organic
16,Trevor,Campos,hernandezernest@example.net,2024-10-05,Central,social
17,Robert,Brown,dcarlson@example.net,2024-01-06,Central,email
18,John,Tran,frazierdanny@example.net,2023-03-13,North,organic
19,Karen,Mack,daniel62@example.com,2023-10-24,North,social
20,Aaron,Bowen,teresa28@example.org,2023-04-14,West,email
21,Monica,Evans,ericfarmer@example.net,2024-10-12,East,organic
22,Stephanie,Nielsen,georgetracy@example.org,2023-12-30,South,organic
23,Sarah,Koch,john39@example.org,2024-12-19,North,social
24,Christopher,Tucker,spenceamanda@example.org,2023-06-25,Central,social
25,David,Alvarez,josephbrennan@example.com,2023-06-17,West,social
26,Tamara,Hickman,jenniferross@example.net,2024-10-17,Central,paid_search
27,Debra,Kim,omartinez@example.org,2023-11-29,North,organic
28,Matthew,Chapman,briannasmith@example.net,2023-02-02,East,organic
29,Crystal,Perez,heathchad@example.org,2023-03-09,South,paid_search
30,Joshua,Washington,jenniferkhan@example.net,2024-08-03,East,referral
31,Thomas,Mueller,glee@example.net,2024-05-26,West,organic
32,Ryan,Henderson,dshields@example.net,2024-10-20,West,email
33,Denise,Lucas,powellmatthew@example.org,2023-05-23,South,organic
